ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,speed
digital_insole_HC_11,0.041457337,0.10627957,0.184335693,0.266509713,0.335128481,0.401717938,0.466067311,0.52977484,0.593730623,0.659170606,0.723095089,0.781209377,0.833654408,0.885335206,0.938308872,0.992182177,1.036502358,1.077483557,1.116266116,1.138078796,1.160692063,1.172200349,1.175555275,1.179904373,1.177187586,1.170879927,1.170899026,1.163678705,1.152267586,1.140097946,1.129581621,1.120957217,1.11174661,1.097674322,1.087212076,1.080357196,1.068748492,1.061233329,1.055408495,1.046960877,1.04338594,1.039329968,1.040852325,1.045915102,1.053719383,1.063751926,1.076258106,1.089985205,1.106223994,1.127482393,1.143532856,1.157488899,1.178462948,1.1989808,1.219954943,1.238774156,1.252804533,1.267763995,1.277817006,1.285926001,1.291959325,1.300856762,1.309779257,1.318451804,1.329867668,1.343503516,1.35880389,1.375225407,1.390613683,1.404069284,1.416243129,1.426107324,1.431085801,1.432501862,1.428141807,1.420039028,1.407261499,1.389753351,1.370549505,1.34856519,1.321604572,1.293299858,1.262681442,1.229054068,1.192193816,1.154123804,1.108389311,1.056356651,0.996629414,0.933174576,0.868380382,0.801745379,0.729992152,0.65027452,0.563601579,0.47475018,0.388424531,0.309471082,0.237643973,0.145617603,slow
digital_insole_HC_12,0.117654771,0.170186103,0.220791883,0.278151659,0.341095528,0.408004938,0.47651205,0.54633035,0.611358817,0.667804845,0.717561376,0.764118979,0.809381172,0.853796261,0.898546083,0.942433266,0.985789352,1.025712482,1.062659837,1.096127644,1.127479484,1.155781696,1.18164447,1.207118916,1.229114502,1.249562811,1.265372819,1.277688836,1.285192727,1.28802607,1.287284269,1.284525119,1.280438582,1.274003752,1.267501332,1.260832705,1.253962079,1.246590453,1.238930194,1.231507805,1.223773297,1.214963196,1.20584333,1.197739782,1.189649614,1.182787964,1.177862518,1.175259474,1.174800205,1.176050713,1.179256218,1.183641166,1.189860258,1.197925536,1.20748633,1.218284182,1.229631902,1.241646076,1.253434949,1.26643562,1.278298339,1.2893455,1.299536517,1.309527475,1.317701225,1.323330929,1.326253004,1.327371339,1.326047666,1.32123879,1.314502196,1.306535728,1.296514375,1.286279304,1.274044452,1.259239316,1.242335121,1.221758822,1.199249482,1.173953071,1.146421058,1.116735494,1.085505664,1.053556704,1.018401642,0.980944938,0.940860414,0.895852191,0.844821958,0.785883042,0.717792396,0.641867443,0.560965228,0.477897108,0.397945742,0.326193167,0.264829264,0.214387809,0.172967282,0.124909283,slow
digital_insole_HC_13,0.122341889,0.167260871,0.206617689,0.266656444,0.335691722,0.403246183,0.466282077,0.521567552,0.575984681,0.626815568,0.673875131,0.715443945,0.753747,0.791843458,0.827987362,0.861795088,0.895933638,0.926847291,0.953408537,0.981591474,1.005954739,1.028749597,1.047923517,1.064619921,1.079751308,1.091055454,1.1025943,1.112452318,1.121270136,1.127437121,1.132734078,1.138945828,1.143163236,1.146817607,1.148993047,1.152143025,1.154842709,1.156727064,1.158577222,1.159199037,1.159510322,1.160966671,1.163967519,1.164389307,1.169216558,1.172569962,1.177382065,1.182267973,1.186246074,1.19141171,1.195851079,1.19997897,1.203293806,1.206338969,1.21021997,1.211071516,1.213047691,1.21112461,1.20504963,1.199853511,1.195389907,1.191449384,1.189010817,1.183603113,1.177198522,1.16825177,1.160979126,1.15401551,1.15118395,1.147702023,1.144664693,1.140459637,1.135440791,1.131561488,1.125755266,1.116988813,1.107263162,1.097164877,1.085379021,1.070055844,1.054402641,1.038218988,1.017883105,0.996567654,0.970687918,0.940748801,0.912289716,0.879861207,0.850444685,0.818384182,0.768321282,0.721559256,0.659387303,0.581942221,0.486726374,0.379116252,0.304774258,0.243264321,0.194144757,0.148023743,slow
digital_insole_HC_14,0.084122914,0.135115468,0.187928038,0.248077379,0.318106423,0.393339821,0.472596441,0.551482334,0.618471224,0.663413586,0.687093228,0.699206581,0.70850772,0.719503961,0.732839219,0.748687976,0.769603696,0.795519921,0.826540038,0.860355841,0.898949227,0.940544992,0.982563613,1.022171798,1.060839606,1.096572012,1.125642524,1.148775706,1.166795692,1.179097636,1.187106927,1.191554903,1.190478637,1.186312138,1.179199902,1.166926077,1.152868747,1.134546684,1.114859757,1.095477839,1.077757663,1.060794538,1.045298693,1.033724357,1.025287063,1.018643738,1.015160237,1.013780368,1.014143897,1.016136192,1.019618678,1.024584518,1.030571779,1.03701946,1.044599803,1.053094616,1.061356179,1.071366617,1.080907103,1.092003687,1.101704627,1.112448707,1.12127816,1.131839853,1.140021184,1.148822832,1.15842417,1.166454841,1.174204931,1.181731011,1.187844865,1.193215439,1.197061598,1.20044329,1.201592876,1.201858067,1.2001104,1.197405315,1.192106437,1.183797008,1.172470261,1.158087076,1.140738468,1.120638096,1.096158668,1.066699181,1.033281792,0.993370882,0.9475363,0.894701135,0.837411902,0.773340679,0.705171822,0.634174977,0.560804215,0.489708883,0.422634307,0.360134404,0.300040387,0.224706877,slow
digital_insole_HC_15,0.090250261,0.172048152,0.27200993,0.378666631,0.474512549,0.554405322,0.610676857,0.65372975,0.701321547,0.739491271,0.777395192,0.80600703,0.835936893,0.855613587,0.868609924,0.881285508,0.898325293,0.913916956,0.926509379,0.935686422,0.942744348,0.950052189,0.951803779,0.961410458,0.971647014,0.978317361,0.987917641,0.99174196,0.99792342,1.007056003,1.014504298,1.017644923,1.023160421,1.02918112,1.033394248,1.035980326,1.039208596,1.045420448,1.05232503,1.057116541,1.061853278,1.067951701,1.073827978,1.079363703,1.085346987,1.090225985,1.09375434,1.092931641,1.094686817,1.094500192,1.099574708,1.099601089,1.100923477,1.098028901,1.094097587,1.091518817,1.092027107,1.090305041,1.089583924,1.084969551,1.07519864,1.065474621,1.053377082,1.037438703,1.017863964,0.998842859,0.979288437,0.958822691,0.934818776,0.907865488,0.884741225,0.86210262,0.839048181,0.817397768,0.793375041,0.770428031,0.741501992,0.716827195,0.688724784,0.661619805,0.631486697,0.603132888,0.575506057,0.543355551,0.512889036,0.481785861,0.452121538,0.424125382,0.393148502,0.366864274,0.33708613,0.315900141,0.290787808,0.266909009,0.246173166,0.223161263,0.198520299,0.176932587,0.158752536,0.128466103,slow
digital_insole_HC_16,0.11345031,0.157980516,0.193654837,0.230797279,0.269143716,0.309004728,0.350977839,0.384501834,0.424097298,0.458879452,0.484892044,0.515867654,0.5447369,0.567118159,0.588524051,0.617847388,0.655252521,0.690365428,0.712516524,0.743690488,0.778344742,0.806011072,0.83684341,0.856562879,0.877097867,0.904360896,0.926789025,0.946987498,0.973190319,0.995027058,1.009265662,1.034652645,1.058068173,1.079234076,1.09740545,1.125554988,1.154051343,1.179279057,1.194403572,1.209731194,1.226220943,1.241806142,1.256880789,1.270762886,1.287947388,1.302297851,1.316925825,1.329332005,1.339919307,1.351886701,1.363435924,1.36804899,1.374611546,1.381657025,1.386392025,1.393742466,1.398368987,1.399807499,1.404677122,1.405285722,1.398657307,1.397529635,1.39768496,1.391572722,1.381878548,1.363579388,1.344053317,1.330906355,1.305085278,1.275412564,1.248588215,1.237633912,1.227356367,1.209593223,1.199985135,1.192013218,1.182121735,1.169222191,1.14782695,1.131551387,1.117293758,1.101210803,1.077692791,1.049678324,1.028328742,0.997473893,0.949888798,0.898575092,0.849491029,0.791482361,0.731695518,0.668719756,0.603756956,0.533833822,0.457686294,0.383874276,0.315225614,0.255708948,0.20273605,0.13551175,slow
digital_insole_HC_17,0.077148301,0.138847911,0.227939189,0.34593989,0.46452165,0.575124918,0.6733873,0.747701654,0.793182062,0.811103944,0.808140149,0.793363343,0.774402071,0.758933247,0.750621772,0.754130605,0.771774525,0.802888982,0.847282773,0.901867166,0.964594117,1.030610733,1.097062437,1.160333436,1.217702152,1.266951438,1.307595571,1.343924342,1.372922979,1.396678668,1.41454855,1.425146963,1.430813978,1.429613728,1.423367793,1.411337291,1.39631072,1.378468847,1.358667207,1.336772095,1.314665337,1.292997191,1.271354687,1.251927095,1.233888864,1.21794719,1.203298088,1.189598667,1.179787917,1.171659385,1.164723642,1.161227264,1.155688251,1.151820235,1.149199118,1.146650119,1.144099782,1.14194275,1.139563754,1.137186386,1.135366729,1.134880092,1.135036842,1.13508547,1.136232141,1.137310839,1.140953106,1.144364002,1.149055128,1.153986053,1.16013205,1.167856917,1.174204235,1.181087953,1.185346354,1.18811632,1.184974717,1.174304962,1.155854803,1.131447719,1.101336926,1.069796805,1.038980125,1.008097544,0.979807208,0.953091271,0.925142005,0.897178464,0.867844583,0.835930901,0.799784451,0.758771449,0.711592951,0.658414215,0.596005698,0.525697019,0.453839151,0.382525224,0.316222141,0.242973698,slow
digital_insole_HC_18,0.037873974,0.099831894,0.184651711,0.29393416,0.417912143,0.551734363,0.689898578,0.815673024,0.922567045,1.016543735,1.100875387,1.179475448,1.252982601,1.318015399,1.374927244,1.424808025,1.470010473,1.508942057,1.540072998,1.560906261,1.571430314,1.572827271,1.5666607,1.552192097,1.528934204,1.500884573,1.469027847,1.431085164,1.390598477,1.350697279,1.310751703,1.273367219,1.240086359,1.208791347,1.179973464,1.155375513,1.134013968,1.114355186,1.096883261,1.083003819,1.070808314,1.06042919,1.051175905,1.045834587,1.042540086,1.041595868,1.042608529,1.045633281,1.048719732,1.053781939,1.061791544,1.070363307,1.079591527,1.090217093,1.102974992,1.115272083,1.128579601,1.143239252,1.158736315,1.173814692,1.188786617,1.203607522,1.217315426,1.23202985,1.246663262,1.26046603,1.274697297,1.289604174,1.305299314,1.320731159,1.335761838,1.350026344,1.362504589,1.373055506,1.381998423,1.38845955,1.39242634,1.393834014,1.392232284,1.386280098,1.375968092,1.36092889,1.339214113,1.311353768,1.276135192,1.228609742,1.167368185,1.089725943,0.994761557,0.886762119,0.781003744,0.68112893,0.591381152,0.513805626,0.449306172,0.392561894,0.340882774,0.290607895,0.239563453,0.152678724,slow
digital_insole_HC_19,0.114828858,0.178650019,0.221124543,0.274037197,0.332449117,0.391694525,0.455176937,0.531290175,0.606510509,0.675116033,0.729653549,0.75712605,0.784271718,0.806788971,0.824204751,0.837996063,0.858241147,0.878576692,0.905301575,0.939558252,0.979137156,1.024587671,1.063632672,1.093254236,1.118361672,1.137837287,1.140168272,1.140676825,1.141987281,1.140868853,1.13912423,1.134959373,1.133347766,1.122919446,1.108271139,1.097189426,1.082296819,1.063058321,1.043838358,1.025786114,1.011932514,0.998951987,0.988854226,0.979104773,0.968154713,0.955777563,0.950680298,0.94276625,0.937088852,0.931857407,0.933725129,0.936696696,0.9424571,0.943349852,0.950741586,0.967130597,0.980573667,0.99351229,1.004892184,1.015448969,1.023912244,1.034264719,1.043857102,1.055950736,1.065215716,1.082311749,1.092314036,1.096856935,1.102869694,1.102036446,1.100304607,1.096796005,1.08748337,1.072668709,1.054995232,1.037002652,1.016548784,0.992217163,0.968630517,0.940307845,0.908770147,0.876653365,0.839485135,0.802259613,0.761141144,0.719075932,0.670114977,0.617311416,0.564944325,0.513383544,0.458565921,0.404181215,0.354968967,0.312074214,0.274872913,0.24016481,0.208991115,0.184847916,0.164505032,0.115018627,slow
digital_insole_HC_20,0.047383707,0.09913153,0.16620998,0.250296019,0.330992071,0.39503234,0.446826169,0.487019365,0.516821465,0.542534188,0.568750622,0.598842796,0.631964959,0.668837416,0.709649681,0.753099353,0.79401298,0.832078252,0.869558634,0.907021452,0.941525328,0.978926822,1.017508211,1.054453728,1.090745168,1.12255062,1.146904623,1.166881463,1.182930321,1.191740282,1.194628561,1.190817219,1.183049747,1.169865057,1.15318035,1.134986747,1.116679093,1.099558944,1.08531653,1.073357936,1.063464918,1.056943023,1.05279853,1.051407763,1.051973716,1.054219321,1.056614196,1.060650801,1.06638556,1.073345221,1.080385405,1.08711958,1.094319867,1.102837962,1.111513805,1.119513037,1.128370444,1.137085001,1.14562683,1.15420735,1.162712157,1.171557087,1.179669361,1.187315409,1.194117475,1.201510302,1.208202547,1.214133164,1.219364779,1.223478503,1.226783613,1.229183692,1.230420389,1.230657408,1.229820047,1.227050038,1.223517128,1.219114464,1.211830685,1.201699155,1.189076319,1.173292348,1.154162861,1.129841252,1.100416851,1.06569024,1.023972611,0.976562402,0.917088384,0.847900308,0.774550238,0.696702682,0.620512156,0.548559725,0.482385208,0.423652117,0.370208241,0.314079106,0.252787424,0.161343803,slow
